"","count.201001","count.201002","count.201003","count.201004","count.201005","count.201006","count.201007","count.201008","count.201009","count.201010","count.201011","count.201012","count.201101","count.201102","count.201103","count.201104","count.201105","count.201106","count.201107","count.201108","count.201109","count.201110","count.201111","count.201112","count.201201","count.201202","count.201203","count.201204","count.201205","count.201206","count.201207","count.201208","count.201209","count.201210","count.201211","count.201212","count.201301","count.201302","count.201303","count.201304","count.201305","count.201306","count.201307","count.201308","count.201309","count.201310","count.201311","count.201312","count.201401","count.201402","count.201403","count.201404","count.201405","count.201406","count.201407","count.201408","count.201409","count.201410","count.201411","count.201412","count.201501","count.201502","count.201503","count.201504","count.201505","count.201506","count.201507","count.201508","count.201509","count.201510","count.201511","count.201512"
"1",0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,1,2
"4",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
"7",0,0,2,0,1,0,1,1,1,1,0,1,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"8",0,1,0,0,0,0,1,1,4,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"9",2,1,1,2,1,0,2,1,0,1,6,1,4,2,0,3,0,3,2,2,3,2,0,0,1,0,0,0,3,0,2,0,2,0,2,2,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
"10",0,0,0,1,1,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,2,1,3,0,0,0,0,1,0,0,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0
"11",1,2,2,2,1,1,1,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,2,1,2,1,1,0,0,2,2,0,0,0,0,0,1,0,3
"12",0,2,0,3,2,1,0,1,2,1,3,3,0,2,0,3,1,2,1,2,4,2,0,0,1,3,2,1,0,1,2,1,1,2,1,1,0,0,3,1,0,1,0,0,3,2,2,1,0,0,0,2,2,0,1,3,2,1,0,3,0,0,1,1,0,1,0,0,3,1,0,2
"13",0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,1,1,1,4,2,0,0,2,1,0,0,1,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,1,1,0,1,2,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,3,0,0,0,1
"15",1,2,0,0,2,1,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,2,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,3,2,0,2,1,1,1,3,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0
"16",1,2,5,0,0,0,0,3,0,3,0,0,1,4,1,1,1,0,1,2,0,0,0,1,0,0,1,0,0,1,0,2,1,1,0,0,2,0,0,0,0,1,0,1,1,3,0,0,0,0,1,0,1,0,0,2,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0
"17",0,0,0,1,0,2,0,1,0,2,3,0,0,0,0,1,1,1,1,0,0,2,2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,3
"18",1,4,1,1,2,3,1,0,0,0,0,0,1,1,1,0,1,0,0,2,0,1,1,2,0,0,2,0,3,1,1,0,0,0,1,0,0,0,0,2,0,0,1,1,1,1,0,1,0,1,1,0,2,2,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,2,0
"19",1,1,1,1,2,2,3,1,3,4,3,2,0,2,0,2,4,0,6,1,4,0,3,0,1,0,0,0,1,0,0,3,1,2,1,0,2,3,1,0,3,3,3,2,5,2,1,1,1,1,1,1,2,1,0,5,1,3,2,0,0,0,0,2,0,0,1,0,1,0,0,1
"20",3,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"21",0,3,1,2,1,0,1,0,0,0,1,1,0,1,2,0,0,0,0,2,0,1,2,1,0,2,1,0,0,1,0,1,2,1,2,1,1,3,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,3,0,1,1,2,1,2,1,1,0,0,2,0,2,4,0,0,0,2
"22",0,1,2,1,0,1,1,1,3,1,1,2,7,2,1,0,1,1,0,1,1,0,1,4,1,0,0,0,0,2,0,2,2,0,0,1,0,2,2,0,4,1,0,0,0,0,0,1,1,1,0,0,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,1,1,0
"23",1,0,1,1,0,0,1,0,0,0,1,2,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1
"24",0,0,1,1,1,0,0,0,0,1,0,0,2,0,2,1,0,1,0,1,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"25",1,1,0,4,1,1,0,0,2,1,1,1,3,4,0,1,3,5,1,2,0,0,2,0,0,1,0,0,3,2,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
"26",0,0,2,1,7,4,4,3,0,1,1,1,3,1,1,1,0,2,3,7,2,4,1,1,0,0,0,0,1,0,1,1,2,0,0,0,0,0,1,0,0,3,0,0,1,0,1,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,2,2,2,2,0,0,0,0,1,1
"27",1,1,1,1,1,0,0,0,0,1,1,0,2,0,1,1,0,3,2,1,2,2,2,0,1,1,0,1,1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,3,1,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0
"28",1,0,0,0,2,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",3,2,8,4,3,1,7,4,1,0,2,1,1,0,3,3,1,2,3,3,3,1,3,0,2,2,2,5,3,4,5,3,2,2,0,1,3,0,1,0,1,2,1,0,1,2,5,1,0,0,1,0,1,3,2,1,0,3,1,0,0,0,0,1,1,0,6,0,1,0,0,0
"30",0,1,0,1,4,0,0,3,0,1,0,1,1,2,0,3,0,0,4,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0
"31",2,0,2,3,4,2,1,3,5,0,1,0,1,2,2,0,2,0,4,3,1,2,5,1,1,0,2,0,2,1,1,5,1,1,0,1,2,0,1,0,0,0,1,0,1,2,1,1,0,0,0,0,1,3,3,1,2,0,1,0,0,0,1,2,1,1,1,0,1,1,3,0
"32",4,2,0,1,2,1,2,1,0,1,0,1,0,1,0,0,0,2,0,0,1,2,1,2,1,0,0,0,2,1,1,0,1,0,1,0,0,0,0,0,1,2,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1
"33",0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"34",3,2,1,0,4,4,2,1,1,4,3,4,2,4,0,4,6,6,2,7,1,4,7,3,1,2,1,4,3,8,3,3,2,2,6,0,1,1,1,0,0,1,1,3,1,1,2,4,0,0,0,3,4,1,2,3,3,3,0,1,2,0,0,2,0,4,1,1,4,6,4,1
