"","x"
"1",1141
"2",850
"3",719
"4",458
"5",991
"6",2239
"7",2134
"8",12
"9",1369
"10",135
"11",1011
"12",2274
"13",394
"14",1204
"15",412
"16",1428
"17",826
"18",1380
"19",1607
"20",408
"21",784
"22",325
"23",770
"24",750
"25",1377
"26",962
"27",838
"28",650
"29",2084
"30",1375
"31",1595
"32",1415
"33",889
"34",1725
"35",966
"36",444
"37",953
"38",970
"39",738
"40",1599
"41",1203
"42",1133
"43",1768
"44",1591
"45",1262
"46",1083
"47",829
"48",1334
"49",380
"50",518
"51",744
"52",648
"53",784
"54",1153
"55",1312
"56",1044
"57",483
"58",869
"59",1128
"60",808
"61",1548
"62",1743
"63",566
"64",857
"65",351
"66",773
"67",868
"68",836
"69",1770
"70",1112
"71",618
"72",500
"73",1103
"74",721
"75",614
"76",658
"77",1305
"78",938
"79",1263
"80",620
"81",980
"82",1323
"83",973
"84",1082
"85",956
"86",985
"87",501
"88",1388
"89",1252
"90",181
"91",1544
"92",1241
"93",1230
"94",785
"95",1411
"96",3057
"97",1185
"98",1590
"99",294
"100",1787
"101",1065
"102",359
"103",1171
"104",1519
"105",281
"106",771
"107",863
"108",1756
"109",1139
"110",769
"111",1840
"112",1271
"113",1191
"114",743
"115",808
"116",1745
"117",766
"118",566
"119",810
"120",768
"121",1459
"122",774
"123",1008
"124",970
"125",1065
"126",1236
"127",709
"128",926
"129",1369
"130",719
"131",996
"132",458
"133",1126
"134",816
"135",577
"136",1210
"137",1141
"138",858
"139",1205
"140",612
"141",702
"142",1721
"143",1189
"144",814
"145",619
"146",758
"147",419
"148",984
"149",1169
"150",612
"151",563
"152",1166
"153",905
"154",1292
"155",1293
"156",2081
"157",953
"158",1191
"159",639
"160",719
"161",903
"162",480
"163",505
"164",583
"165",1693
"166",989
"167",840
"168",976
"169",1331
"170",1233
"171",910
"172",915
"173",1122
"174",973
"175",1269
"176",1346
"177",1050
"178",1323
"179",888
"180",950
"181",1508
"182",844
"183",915
"184",915
"185",719
"186",636
"187",1552
"188",1093
"189",1221
"190",1019
"191",2729
"192",949
"193",1042
"194",960
"195",792
"196",434
"197",1633
"198",1693
"199",962
"200",1029
"201",1002
"202",1349
"203",749
"204",1634
"205",657
"206",465
"207",714
"208",1035
"209",837
"210",498
"211",689
"212",1272
"213",1049
"214",693
"215",630
"216",611
"217",1649
"218",1314
"219",820
"220",1143
"221",1228
"222",1595
"223",937
"224",661
"225",2692
"226",1279
"227",1060
"228",1177
"229",812
"230",1696
"231",1200
"232",965
"233",966
"234",805
"235",1615
"236",1194
"237",869
"238",1228
"239",2336
"240",856
"241",1462
"242",1250
"243",1897
"244",2502
"245",1582
"246",1159
"247",981
"248",1204
"249",893
"250",971
"251",12
"252",862
"253",1890
"254",599
"255",1142
"256",481
"257",507
"258",1912
"259",552
"260",606
"261",1034
"262",1388
"263",1038
"264",1480
"265",875
"266",1146
"267",979
"268",1669
"269",864
"270",1992
"271",1208
"272",1476
"273",639
"274",544
"275",1000
"276",1736
"277",1526
"278",1565
"279",704
"280",1017
"281",700
"282",796
"283",1394
"284",356
"285",1015
"286",2681
"287",1131
"288",1061
"289",628
"290",929
"291",705
"292",727
"293",982
"294",731
"295",646
"296",1498
"297",620
"298",774
"299",1536
"300",594
"301",330
"302",845
"303",948
"304",864
"305",2242
"306",907
"307",906
"308",1049
"309",569
"310",1463
"311",1336
"312",2008
"313",880
"314",717
"315",545
"316",539
"317",1142
"318",335
"319",1065
"320",818
"321",968
"322",688
"323",1259
"324",762
"325",847
"326",606
"327",1010
"328",890
"329",554
"330",457
"331",1062
"332",557
"333",409
"334",956
"335",794
"336",668
"337",1181
"338",816
"339",764
"340",229
"341",769
"342",1053
"343",865
"344",768
"345",1521
"346",779
"347",890
"348",979
"349",920
"350",1221
"351",631
"352",797
"353",1004
"354",1012
"355",871
"356",763
"357",936
"358",580
"359",423
"360",563
"361",881
"362",1009
"363",1110
"364",1182
"365",719
"366",641
"367",1142
"368",1647
"369",817
"370",329
"371",852
"372",886
"373",604
"374",533
"375",896
"376",711
"377",2449
"378",964
"379",1851
"380",1407
"381",2123
"382",1001
"383",1386
"384",2356
"385",1981
"386",744
"387",767
"388",1529
"389",1609
"390",1362
"391",1040
"392",1053
"393",954
"394",978
"395",2075
"396",1756
"397",1054
"398",1294
"399",732
"400",400
"401",1290
"402",1259
"403",1215
"404",1438
"405",689
"406",1131
"407",1104
"408",913
"409",537
"410",857
"411",1227
"412",661
"413",538
"414",895
"415",1160
"416",1140
"417",622
"418",708
"419",929
"420",1743
"421",1102
"422",1729
"423",858
"424",1973
"425",1210
"426",561
"427",1390
"428",879
"429",831
"430",1872
"431",947
"432",693
"433",832
"434",1073
"435",648
"436",1538
"437",1649
"438",1140
"439",1429
"440",1462
"441",860
"442",744
"443",790
"444",1052
"445",1144
"446",1137
"447",1913
"448",1107
"449",741
"450",1033
"451",1534
"452",907
"453",1126
"454",649
"455",1311
"456",770
"457",809
"458",976
"459",706
"460",1099
"461",1632
"462",699
"463",1206
"464",1566
"465",1087
"466",873
"467",1022
"468",791
"469",1025
"470",1303
"471",489
"472",689
"473",1468
"474",1268
"475",1157
"476",601
"477",1136
"478",764
"479",2378
"480",2745
"481",923
"482",1241
"483",906
"484",1741
"485",941
"486",1184
"487",1500
"488",369
"489",778
"490",1260
"491",1399
"492",681
"493",1605
"494",1289
"495",1533
"496",850
"497",1190
"498",414
"499",1106
"500",598
