"","x"
"1",36
"2",0
"3",33
"4",0
"5",48
"6",21
"7",45
"8",0
"9",42
"10",0
"11",7
"12",119
"13",49
"14",0
"15",10
"16",76
"17",39
"18",36
"19",48
"20",0
"21",12
"22",0
"23",26
"24",68
"25",73
"26",63
"27",35
"28",65
"29",60
"30",45
"31",63
"32",33
"33",40
"34",97
"35",0
"36",24
"37",116
"38",41
"39",81
"40",90
"41",75
"42",10
"43",129
"44",69
"45",41
"46",146
"47",17
"48",80
"49",0
"50",0
"51",121
"52",31
"53",9
"54",107
"55",116
"56",54
"57",11
"58",0
"59",0
"60",33
"61",75
"62",0
"63",0
"64",33
"65",0
"66",0
"67",0
"68",57
"69",121
"70",52
"71",14
"72",15
"73",127
"74",99
"75",57
"76",88
"77",0
"78",49
"79",159
"80",0
"81",87
"82",21
"83",34
"84",28
"85",20
"86",81
"87",0
"88",50
"89",36
"90",0
"91",81
"92",103
"93",55
"94",27
"95",128
"96",45
"97",44
"98",14
"99",0
"100",84
"101",66
"102",0
"103",38
"104",15
"105",0
"106",0
"107",0
"108",68
"109",48
"110",55
"111",118
"112",139
"113",15
"114",34
"115",42
"116",64
"117",61
"118",0
"119",14
"120",19
"121",12
"122",56
"123",26
"124",44
"125",100
"126",86
"127",47
"128",24
"129",30
"130",0
"131",19
"132",0
"133",28
"134",62
"135",45
"136",14
"137",32
"138",95
"139",151
"140",39
"141",0
"142",50
"143",88
"144",28
"145",19
"146",65
"147",16
"148",27
"149",111
"150",43
"151",0
"152",17
"153",23
"154",91
"155",14
"156",90
"157",36
"158",9
"159",15
"160",0
"161",17
"162",40
"163",14
"164",19
"165",82
"166",0
"167",17
"168",0
"169",9
"170",128
"171",21
"172",9
"173",68
"174",102
"175",78
"176",150
"177",57
"178",47
"179",107
"180",24
"181",79
"182",36
"183",48
"184",14
"185",22
"186",0
"187",84
"188",78
"189",0
"190",18
"191",80
"192",0
"193",22
"194",83
"195",47
"196",48
"197",165
"198",166
"199",87
"200",93
"201",16
"202",0
"203",56
"204",101
"205",21
"206",0
"207",65
"208",54
"209",59
"210",53
"211",0
"212",66
"213",59
"214",12
"215",12
"216",13
"217",53
"218",31
"219",83
"220",36
"221",43
"222",35
"223",47
"224",74
"225",91
"226",72
"227",0
"228",95
"229",106
"230",202
"231",121
"232",12
"233",51
"234",17
"235",101
"236",57
"237",65
"238",34
"239",77
"240",36
"241",116
"242",106
"243",75
"244",268
"245",36
"246",53
"247",33
"248",74
"249",11
"250",28
"251",0
"252",0
"253",71
"254",65
"255",63
"256",0
"257",28
"258",156
"259",38
"260",0
"261",63
"262",117
"263",0
"264",0
"265",91
"266",39
"267",48
"268",89
"269",0
"270",104
"271",83
"272",106
"273",24
"274",55
"275",77
"276",79
"277",80
"278",40
"279",40
"280",125
"281",74
"282",9
"283",155
"284",68
"285",12
"286",227
"287",59
"288",89
"289",47
"290",105
"291",49
"292",23
"293",50
"294",132
"295",22
"296",128
"297",0
"298",23
"299",188
"300",21
"301",19
"302",20
"303",65
"304",78
"305",113
"306",89
"307",14
"308",127
"309",29
"310",75
"311",130
"312",211
"313",28
"314",59
"315",55
"316",30
"317",41
"318",20
"319",42
"320",30
"321",41
"322",19
"323",128
"324",74
"325",34
"326",39
"327",41
"328",68
"329",45
"330",20
"331",55
"332",34
"333",39
"334",12
"335",102
"336",10
"337",116
"338",18
"339",0
"340",25
"341",30
"342",37
"343",49
"344",19
"345",38
"346",37
"347",42
"348",13
"349",41
"350",34
"351",49
"352",0
"353",15
"354",42
"355",21
"356",45
"357",46
"358",24
"359",18
"360",0
"361",25
"362",73
"363",58
"364",125
"365",20
"366",37
"367",10
"368",124
"369",54
"370",25
"371",120
"372",84
"373",11
"374",40
"375",109
"376",36
"377",123
"378",57
"379",139
"380",148
"381",153
"382",61
"383",0
"384",112
"385",72
"386",72
"387",54
"388",123
"389",69
"390",48
"391",141
"392",95
"393",0
"394",50
"395",115
"396",213
"397",0
"398",0
"399",8
"400",0
"401",127
"402",79
"403",53
"404",72
"405",37
"406",68
"407",116
"408",80
"409",45
"410",49
"411",45
"412",39
"413",0
"414",31
"415",77
"416",66
"417",13
"418",17
"419",80
"420",179
"421",49
"422",40
"423",20
"424",87
"425",53
"426",40
"427",11
"428",0
"429",70
"430",7
"431",98
"432",66
"433",63
"434",186
"435",54
"436",37
"437",42
"438",43
"439",84
"440",17
"441",0
"442",33
"443",25
"444",93
"445",58
"446",19
"447",104
"448",34
"449",17
"450",181
"451",149
"452",0
"453",121
"454",55
"455",52
"456",16
"457",54
"458",70
"459",0
"460",29
"461",112
"462",8
"463",8
"464",8
"465",12
"466",76
"467",45
"468",51
"469",64
"470",69
"471",25
"472",19
"473",40
"474",61
"475",51
"476",0
"477",38
"478",36
"479",82
"480",152
"481",136
"482",112
"483",43
"484",0
"485",69
"486",39
"487",123
"488",14
"489",77
"490",39
"491",66
"492",0
"493",25
"494",100
"495",55
"496",45
"497",66
"498",65
"499",71
"500",75
"501",0
"502",79
"503",43
"504",15
"505",121
"506",19
"507",133
"508",96
"509",15
"510",120
"511",19
"512",79
"513",17
"514",46
"515",87
"516",37
"517",76
"518",109
"519",35
"520",27
"521",68
"522",8
"523",1
"524",66
"525",105
"526",71
"527",42
"528",10
"529",17
"530",21
"531",47
"532",66
"533",25
"534",7
"535",62
"536",12
"537",12
"538",37
"539",105
"540",17
"541",42
"542",29
"543",70
"544",80
"545",51
"546",80
"547",54
"548",27
"549",0
"550",0
"551",0
"552",0
